"No.","Time","Source","Destination","Protocol","Length","Info"
"6204","203.528554","192.168.75.216","3.233.149.199","TCP","96","[TCP Retransmission] 58279  >  443 [PSH, ACK] Seq=11157 Ack=1604 Win=256 Len=42"
"6205","203.532959","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=1604 Ack=11199 Win=953 Len=0"
"6206","204.369834","192.168.75.216","185.199.108.133","TCP","55","[TCP Keep-Alive] 57953  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"6207","204.374198","3.233.149.199","192.168.75.216","TCP","54","[TCP Dup ACK 6205#1] 443  >  58279 [ACK] Seq=1604 Ack=11199 Win=953 Len=0"
"6210","204.733494","185.199.108.133","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  57953 [ACK] Seq=1 Ack=2 Win=206 Len=0"
"6243","206.375154","192.168.75.216","142.251.10.95","TCP","55","[TCP Keep-Alive] 58149  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"6244","207.304114","142.251.10.95","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58149 [ACK] Seq=1 Ack=2 Win=149 Len=0"
"6245","207.304114","74.125.200.188","192.168.75.216","TLSv1.2","511","Application Data"
"6246","207.304905","192.168.75.216","74.125.200.188","TLSv1.2","90","Application Data"
"6247","207.554684","74.125.200.188","192.168.75.216","TCP","54","5228  >  57907 [ACK] Seq=1821 Ack=38 Win=157 Len=0"
"6574","210.143951","192.168.75.216","3.232.39.161","TCP","54","58299  >  443 [FIN, ACK] Seq=1 Ack=65 Win=255 Len=0"
"6576","210.144100","192.168.75.216","3.232.39.161","TCP","54","58299  >  443 [RST, ACK] Seq=2 Ack=65 Win=0 Len=0"
"6577","210.144335","192.168.75.216","35.171.96.214","TCP","54","58298  >  443 [FIN, ACK] Seq=2 Ack=1 Win=256 Len=0"
"6578","210.144716","192.168.75.216","20.205.243.166","TCP","54","58284  >  443 [FIN, ACK] Seq=1 Ack=41 Win=256 Len=0"
"6579","210.144839","192.168.75.216","185.199.108.154","TCP","54","58282  >  443 [FIN, ACK] Seq=2 Ack=1 Win=255 Len=0"
"6580","210.145049","192.168.75.216","3.225.133.12","TCP","54","58302  >  443 [FIN, ACK] Seq=1 Ack=33 Win=253 Len=0"
"6581","210.145132","192.168.75.216","3.225.133.12","TCP","54","58302  >  443 [RST, ACK] Seq=2 Ack=33 Win=0 Len=0"
"6641","210.192170","20.205.243.166","192.168.75.216","TCP","54","443  >  58284 [ACK] Seq=41 Ack=2 Win=149 Len=0"
"6642","210.192487","35.171.96.214","192.168.75.216","TCP","54","443  >  58298 [ACK] Seq=1 Ack=3 Win=151 Len=0"
"6645","210.192487","3.232.39.161","192.168.75.216","TCP","54","443  >  58299 [ACK] Seq=65 Ack=2 Win=149 Len=0"
"6648","210.192487","185.199.108.154","192.168.75.216","TCP","54","443  >  58282 [ACK] Seq=1 Ack=3 Win=149 Len=0"
"6675","210.194630","3.225.133.12","192.168.75.216","TCP","54","443  >  58302 [ACK] Seq=33 Ack=2 Win=178 Len=0"
"6745","210.240491","192.168.75.216","13.35.13.48","TCP","66","58307  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6747","210.402926","192.168.75.216","13.35.13.48","TCP","66","58308  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6748","210.406765","13.35.13.48","192.168.75.216","TCP","66","443  >  58307 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=32 SACK_PERM=1"
"6749","210.406915","192.168.75.216","13.35.13.48","TCP","54","58307  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"6750","210.407267","192.168.75.216","13.35.13.48","TLSv1.3","571","Client Hello"
"6752","210.407757","185.199.108.154","192.168.75.216","TLSv1.2","78","Application Data"
"6753","210.407914","192.168.75.216","185.199.108.154","TCP","54","58282  >  443 [RST, ACK] Seq=3 Ack=25 Win=0 Len=0"
"6755","210.408362","185.199.108.154","192.168.75.216","TCP","54","443  >  58282 [FIN, ACK] Seq=25 Ack=3 Win=149 Len=0"
"6757","210.528609","35.171.96.214","192.168.75.216","TLSv1.2","85","Encrypted Alert"
"6758","210.528609","35.171.96.214","192.168.75.216","TCP","54","443  >  58298 [FIN, ACK] Seq=32 Ack=3 Win=151 Len=0"
"6759","210.528758","192.168.75.216","35.171.96.214","TCP","54","58298  >  443 [RST, ACK] Seq=3 Ack=32 Win=0 Len=0"
"6761","210.528898","13.35.13.48","192.168.75.216","TCP","66","443  >  58308 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=32 SACK_PERM=1"
"6762","210.528898","13.35.13.48","192.168.75.216","TCP","54","443  >  58307 [ACK] Seq=1 Ack=518 Win=4704 Len=0"
"6763","210.528898","13.35.13.48","192.168.75.216","TLSv1.3","1454","Server Hello, Change Cipher Spec, Application Data"
"6764","210.529075","192.168.75.216","13.35.13.48","TCP","54","58308  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"6765","210.529165","13.35.13.48","192.168.75.216","TCP","1454","443  >  58307 [PSH, ACK] Seq=1401 Ack=518 Win=4704 Len=1400 [TCP segment of a reassembled PDU]"
"6766","210.529207","192.168.75.216","13.35.13.48","TCP","54","58307  >  443 [ACK] Seq=518 Ack=2801 Win=65792 Len=0"
"6768","210.529442","13.35.13.48","192.168.75.216","TCP","1454","443  >  58307 [ACK] Seq=2801 Ack=518 Win=4704 Len=1400 [TCP segment of a reassembled PDU]"
"6769","210.529442","13.35.13.48","192.168.75.216","TCP","1454","443  >  58307 [ACK] Seq=4201 Ack=518 Win=4704 Len=1400 [TCP segment of a reassembled PDU]"
"6770","210.529494","192.168.75.216","13.35.13.48","TCP","54","58307  >  443 [ACK] Seq=518 Ack=5601 Win=65792 Len=0"
"6771","210.529705","13.35.13.48","192.168.75.216","TLSv1.3","452","Application Data, Application Data, Application Data"
"6772","210.529958","192.168.75.216","13.35.13.48","TLSv1.3","571","Client Hello"
"6773","210.530463","192.168.75.216","13.35.13.48","TLSv1.3","118","Change Cipher Spec, Application Data"
"6774","210.530745","192.168.75.216","13.35.13.48","TLSv1.3","146","Application Data"
"6775","210.530983","192.168.75.216","13.35.13.48","TLSv1.3","486","Application Data"
"6776","210.914075","192.168.75.216","13.35.13.48","TCP","571","[TCP Retransmission] 58308  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65792 Len=517"
"6777","210.918038","13.35.13.48","192.168.75.216","TCP","54","443  >  58308 [ACK] Seq=1 Ack=518 Win=4704 Len=0"
"6778","210.918038","13.35.13.48","192.168.75.216","TCP","54","443  >  58307 [ACK] Seq=5999 Ack=582 Win=4768 Len=0"
"6779","210.918247","13.35.13.48","192.168.75.216","TCP","54","443  >  58307 [ACK] Seq=5999 Ack=1106 Win=5280 Len=0"
"6780","210.918247","13.35.13.48","192.168.75.216","TLSv1.3","116","Application Data"
"6782","210.918247","13.35.13.48","192.168.75.216","TLSv1.3","1454","Server Hello, Change Cipher Spec, Application Data"
"6783","210.918247","13.35.13.48","192.168.75.216","TCP","1454","443  >  58308 [PSH, ACK] Seq=1401 Ack=518 Win=4704 Len=1400 [TCP segment of a reassembled PDU]"
"6784","210.918247","13.35.13.48","192.168.75.216","TLSv1.3","85","Application Data"
"6785","210.918247","13.35.13.48","192.168.75.216","TLSv1.3","509","Application Data"
"6786","210.918247","13.35.13.48","192.168.75.216","TCP","1454","443  >  58308 [PSH, ACK] Seq=2801 Ack=518 Win=4704 Len=1400 [TCP segment of a reassembled PDU]"
"6787","210.918247","13.35.13.48","192.168.75.216","TCP","1454","443  >  58308 [ACK] Seq=4201 Ack=518 Win=4704 Len=1400 [TCP segment of a reassembled PDU]"
"6788","210.918448","192.168.75.216","13.35.13.48","TCP","54","58308  >  443 [ACK] Seq=518 Ack=5601 Win=65792 Len=0"
"6789","210.918564","192.168.75.216","13.35.13.48","TCP","54","58307  >  443 [ACK] Seq=1106 Ack=6547 Win=64768 Len=0"
"6790","210.918664","13.35.13.48","192.168.75.216","TLSv1.3","452","Application Data, Application Data, Application Data"
"6791","210.920074","192.168.75.216","13.35.13.48","TLSv1.3","118","Change Cipher Spec, Application Data"
"6792","210.920272","192.168.75.216","13.35.13.48","TLSv1.3","85","Application Data"
"6793","210.922202","192.168.75.216","13.35.13.48","TLSv1.3","272","Application Data"
"6795","211.061203","13.35.13.48","192.168.75.216","TCP","54","443  >  58308 [ACK] Seq=5999 Ack=582 Win=4768 Len=0"
"6796","211.061203","13.35.13.48","192.168.75.216","TLSv1.3","116","Application Data"
"6797","211.061318","13.35.13.48","192.168.75.216","TCP","54","443  >  58307 [ACK] Seq=6547 Ack=1137 Win=5312 Len=0"
"6798","211.061441","13.35.13.48","192.168.75.216","TCP","54","443  >  58307 [ACK] Seq=6547 Ack=1355 Win=5536 Len=0"
"6799","211.061907","13.35.13.48","192.168.75.216","TLSv1.3","514","Application Data"
"6800","211.106023","192.168.75.216","13.35.13.48","TCP","54","58308  >  443 [ACK] Seq=582 Ack=6061 Win=65280 Len=0"
"6801","211.106023","192.168.75.216","13.35.13.48","TCP","54","58307  >  443 [ACK] Seq=1355 Ack=7007 Win=65792 Len=0"
"6802","211.141326","192.168.75.216","13.236.8.150","TLSv1.2","123","Application Data"
"6803","211.141484","192.168.75.216","13.236.8.150","TLSv1.2","93","Application Data"
"6804","211.502383","13.236.8.150","192.168.75.216","TCP","54","443  >  58221 [ACK] Seq=372 Ack=434 Win=229 Len=0"
"6805","211.502383","13.236.8.150","192.168.75.216","TLSv1.2","93","Application Data"
"6806","211.502553","13.236.8.150","192.168.75.216","TLSv1.2","177","Application Data"
"6807","211.502600","192.168.75.216","13.236.8.150","TCP","54","58221  >  443 [ACK] Seq=434 Ack=534 Win=254 Len=0"
"6819","212.148785","192.168.75.216","157.240.208.60","TLSv1.2","85","Application Data"
"6826","212.210708","157.240.208.60","192.168.75.216","TCP","54","443  >  58281 [ACK] Seq=490 Ack=344 Win=987 Len=0"
"6828","212.431412","157.240.208.60","192.168.75.216","TLSv1.2","92","Application Data"
"6829","212.472030","192.168.75.216","157.240.208.60","TCP","54","58281  >  443 [ACK] Seq=344 Ack=528 Win=252 Len=0"
"6831","212.481197","192.168.75.216","20.198.162.76","TLSv1.2","155","Application Data"
"6832","212.527552","20.198.162.76","192.168.75.216","TCP","54","443  >  57877 [ACK] Seq=1 Ack=102 Win=233 Len=0"
"6835","212.570874","20.198.162.76","192.168.75.216","TLSv1.2","225","Application Data"
"6839","212.618197","192.168.75.216","20.198.162.76","TCP","54","57877  >  443 [ACK] Seq=102 Ack=172 Win=255 Len=0"
"6842","212.820987","192.168.75.216","3.94.218.138","TCP","55","[TCP Keep-Alive] 58124  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"6843","212.931071","3.94.218.138","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58124 [ACK] Seq=1 Ack=2 Win=249 Len=0"
"6845","214.068707","192.168.75.216","185.199.108.154","TCP","55","[TCP Keep-Alive] 58285  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"6846","214.777280","192.168.75.216","34.193.113.164","TCP","55","[TCP Keep-Alive] 58125  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"6847","214.778471","185.199.108.154","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58285 [ACK] Seq=1 Ack=2 Win=199 Len=0"
"6849","214.866162","34.193.113.164","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58125 [ACK] Seq=1 Ack=2 Win=320 Len=0"
"6891","216.110078","18.211.189.31","192.168.75.216","TLSv1.2","85","Application Data"
"6892","216.110397","192.168.75.216","18.211.189.31","TLSv1.2","89","Application Data"
"6893","216.121049","192.168.75.216","35.171.96.214","TCP","55","[TCP Keep-Alive] 58296  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"6894","216.417897","192.168.75.216","35.171.96.214","TCP","55","[TCP Keep-Alive] 58297  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"6895","216.421837","18.211.189.31","192.168.75.216","TCP","54","443  >  58216 [ACK] Seq=195 Ack=208 Win=193 Len=0"
"6896","216.421837","35.171.96.214","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58296 [ACK] Seq=1 Ack=2 Win=274 Len=0"
"6897","217.295027","35.171.96.214","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58297 [ACK] Seq=1 Ack=2 Win=274 Len=0"
"6942","223.362913","192.168.75.216","52.98.66.98","TCP","55","[TCP Keep-Alive] 58048  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"6943","223.617589","52.98.66.98","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58048 [ACK] Seq=1 Ack=2 Win=264 Len=0"
"6980","228.436604","192.168.75.216","52.71.28.102","TCP","55","[TCP Keep-Alive] 58005  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"6982","229.587269","52.71.28.102","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58005 [ACK] Seq=1 Ack=2 Win=170 Len=0"
"6983","230.138334","192.168.75.216","157.240.208.60","TLSv1.2","85","Application Data"
"6984","230.578138","192.168.75.216","157.240.208.60","TCP","85","[TCP Retransmission] 58281  >  443 [PSH, ACK] Seq=344 Ack=528 Win=252 Len=31"
"6985","230.582270","157.240.208.60","192.168.75.216","TCP","54","443  >  58281 [ACK] Seq=528 Ack=375 Win=988 Len=0"
"6986","230.582270","157.240.208.60","192.168.75.216","TLSv1.2","92","Application Data"
"6987","230.634429","192.168.75.216","157.240.208.60","TCP","54","58281  >  443 [ACK] Seq=375 Ack=566 Win=252 Len=0"
"7043","232.175599","192.168.75.216","3.233.149.199","TLSv1.2","277","Application Data"
"7044","232.175754","192.168.75.216","3.233.149.199","TLSv1.2","100","Application Data"
"7045","232.175824","192.168.75.216","3.233.149.199","TCP","1454","58279  >  443 [ACK] Seq=11468 Ack=1604 Win=256 Len=1400 [TCP segment of a reassembled PDU]"
"7046","232.175824","192.168.75.216","3.233.149.199","TLSv1.2","602","Application Data"
"7049","232.477677","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=1604 Ack=13416 Win=1022 Len=0"
"7050","232.478414","3.233.149.199","192.168.75.216","TLSv1.2","100","Application Data"
"7051","232.532521","192.168.75.216","3.233.149.199","TCP","54","58279  >  443 [ACK] Seq=13416 Ack=1650 Win=255 Len=0"
"7053","233.395525","3.233.149.199","192.168.75.216","TLSv1.2","237","Application Data, Application Data"
"7058","233.397972","192.168.75.216","3.233.149.199","TLSv1.2","96","Application Data"
"7060","233.527742","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=1833 Ack=13458 Win=1023 Len=0"
"7104","238.167218","192.168.75.216","140.82.113.26","TCP","55","[TCP Keep-Alive] 58291  >  443 [ACK] Seq=116 Ack=101 Win=253 Len=1"
"7105","238.562063","192.168.75.216","20.96.88.162","TCP","55","[TCP Keep-Alive] 58300  >  443 [ACK] Seq=1172 Ack=661 Win=255 Len=1"
"7106","238.566136","140.82.113.26","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58291 [ACK] Seq=101 Ack=117 Win=214 Len=0"
"7107","239.657156","20.96.88.162","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58300 [ACK] Seq=661 Ack=1173 Win=985 Len=0"
"7557","245.143474","192.168.75.216","157.240.208.60","TLSv1.2","85","Application Data"
"7558","245.197745","157.240.208.60","192.168.75.216","TCP","54","443  >  58281 [ACK] Seq=566 Ack=406 Win=989 Len=0"
"7559","245.425655","157.240.208.60","192.168.75.216","TLSv1.2","92","Application Data"
"7560","245.466013","192.168.75.216","157.240.208.60","TCP","54","58281  >  443 [ACK] Seq=406 Ack=604 Win=251 Len=0"
"7594","249.741897","192.168.75.216","185.199.108.133","TCP","55","[TCP Keep-Alive] 57953  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"7595","251.296292","185.199.108.133","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  57953 [ACK] Seq=1 Ack=2 Win=206 Len=0"
"7600","252.316761","192.168.75.216","142.251.10.95","TCP","55","[TCP Keep-Alive] 58149  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"7602","252.425894","142.251.10.95","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58149 [ACK] Seq=1 Ack=2 Win=149 Len=0"
"7603","252.560573","140.82.113.26","192.168.75.216","TLSv1.2","79","Application Data"
"7605","252.561006","192.168.75.216","140.82.113.26","TLSv1.2","83","Application Data"
"7630","252.564533","192.168.75.216","74.125.200.188","TCP","55","[TCP Keep-Alive] 57907  >  5228 [ACK] Seq=37 Ack=1821 Win=253 Len=1"
"7637","252.596806","74.125.200.188","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 5228  >  57907 [ACK] Seq=1821 Ack=38 Win=157 Len=0"
"7638","252.596806","140.82.113.26","192.168.75.216","TCP","54","443  >  58291 [ACK] Seq=126 Ack=146 Win=214 Len=0"
"7642","256.071757","192.168.75.216","13.35.13.48","TCP","55","[TCP Keep-Alive] 58307  >  443 [ACK] Seq=1354 Ack=7007 Win=65792 Len=1"
"7643","256.071771","192.168.75.216","13.35.13.48","TCP","55","[TCP Keep-Alive] 58308  >  443 [ACK] Seq=581 Ack=6061 Win=65280 Len=1"
"7644","256.504544","192.168.75.216","13.236.8.150","TCP","55","[TCP Keep-Alive] 58221  >  443 [ACK] Seq=433 Ack=534 Win=254 Len=1"
"7645","256.508830","13.35.13.48","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58308 [ACK] Seq=6061 Ack=582 Win=4768 Len=0"
"7646","256.508830","13.35.13.48","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58307 [ACK] Seq=7007 Ack=1355 Win=5536 Len=0"
"7648","257.517544","13.236.8.150","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58221 [ACK] Seq=534 Ack=434 Win=229 Len=0"
"7658","257.937969","192.168.75.216","3.94.218.138","TCP","55","[TCP Keep-Alive] 58124  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"7687","258.569196","3.94.218.138","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58124 [ACK] Seq=1 Ack=2 Win=249 Len=0"
"7695","259.779869","192.168.75.216","185.199.108.154","TCP","55","[TCP Keep-Alive] 58285  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"7696","259.868946","192.168.75.216","34.193.113.164","TCP","55","[TCP Keep-Alive] 58125  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"7697","259.910780","185.199.108.154","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58285 [ACK] Seq=1 Ack=2 Win=199 Len=0"
"7698","261.229220","34.193.113.164","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58125 [ACK] Seq=1 Ack=2 Win=320 Len=0"
"7699","261.436434","192.168.75.216","18.211.189.31","TCP","55","[TCP Keep-Alive] 58216  >  443 [ACK] Seq=207 Ack=195 Win=252 Len=1"
"7700","261.436539","192.168.75.216","35.171.96.214","TCP","55","[TCP Keep-Alive] 58296  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"7701","261.731311","18.211.189.31","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58216 [ACK] Seq=195 Ack=208 Win=193 Len=0"
"7702","261.731311","35.171.96.214","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58296 [ACK] Seq=1 Ack=2 Win=274 Len=0"
"7703","262.300593","192.168.75.216","35.171.96.214","TCP","55","[TCP Keep-Alive] 58297  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"7704","263.584455","35.171.96.214","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58297 [ACK] Seq=1 Ack=2 Win=274 Len=0"
"7749","268.625731","192.168.75.216","52.98.66.98","TCP","55","[TCP Keep-Alive] 58048  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"7751","268.669894","52.98.66.98","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58048 [ACK] Seq=1 Ack=2 Win=264 Len=0"
"7794","270.146701","192.168.75.216","157.240.208.60","TLSv1.2","85","Application Data"
"7795","270.572849","192.168.75.216","157.240.208.60","TCP","85","[TCP Retransmission] 58281  >  443 [PSH, ACK] Seq=406 Ack=604 Win=251 Len=31"
"7796","270.574017","157.240.208.60","192.168.75.216","TCP","54","443  >  58281 [ACK] Seq=604 Ack=437 Win=990 Len=0"
"7797","270.574017","157.240.208.60","192.168.75.216","TLSv1.2","92","Application Data"
"7798","270.620854","192.168.75.216","157.240.208.60","TCP","54","58281  >  443 [ACK] Seq=437 Ack=642 Win=251 Len=0"
"8287","274.591152","192.168.75.216","52.71.28.102","TCP","55","[TCP Keep-Alive] 58005  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"8288","275.360234","52.71.28.102","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58005 [ACK] Seq=1 Ack=2 Win=170 Len=0"
"8289","276.539957","18.211.189.31","192.168.75.216","TLSv1.2","85","Application Data"
"8290","276.540235","192.168.75.216","18.211.189.31","TLSv1.2","89","Application Data"
"8291","276.581960","18.211.189.31","192.168.75.216","TCP","54","443  >  58216 [ACK] Seq=226 Ack=243 Win=194 Len=0"
"8292","277.151970","192.168.75.216","18.211.189.31","TLSv1.2","122","Application Data"
"8293","277.227736","18.211.189.31","192.168.75.216","TCP","54","443  >  58216 [ACK] Seq=226 Ack=311 Win=196 Len=0"
"8294","277.470290","18.211.189.31","192.168.75.216","TLSv1.2","120","Application Data"
"8295","277.516579","192.168.75.216","18.211.189.31","TCP","54","58216  >  443 [ACK] Seq=311 Ack=292 Win=251 Len=0"
"8296","278.537756","192.168.75.216","3.233.149.199","TCP","55","[TCP Keep-Alive] 58279  >  443 [ACK] Seq=13457 Ack=1833 Win=255 Len=1"
"8298","278.789064","3.233.149.199","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58279 [ACK] Seq=1833 Ack=13458 Win=1023 Len=0"
"8339","284.671104","192.168.75.216","20.96.88.162","TCP","55","[TCP Keep-Alive] 58300  >  443 [ACK] Seq=1172 Ack=661 Win=255 Len=1"
"8341","284.874915","20.96.88.162","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58300 [ACK] Seq=661 Ack=1173 Win=985 Len=0"
"8377","286.145377","192.168.75.216","20.96.88.162","TLSv1.2","157","Application Data"
"8378","286.145522","192.168.75.216","20.96.88.162","TLSv1.2","100","Application Data"
"8379","286.145587","192.168.75.216","20.96.88.162","TLSv1.2","289","Application Data"
"8380","286.146901","192.168.75.216","13.236.8.150","TLSv1.2","123","Application Data"
"8381","286.147017","192.168.75.216","13.236.8.150","TLSv1.2","93","Application Data"
"8382","286.535832","192.168.75.216","20.96.88.162","TCP","438","[TCP Retransmission] 58300  >  443 [PSH, ACK] Seq=1173 Ack=661 Win=255 Len=384"
"8383","286.537135","20.96.88.162","192.168.75.216","TCP","54","443  >  58300 [ACK] Seq=661 Ack=1557 Win=997 Len=0"
"8384","286.537135","13.236.8.150","192.168.75.216","TCP","54","443  >  58221 [ACK] Seq=534 Ack=542 Win=233 Len=0"
"8385","286.537396","13.236.8.150","192.168.75.216","TLSv1.2","93","Application Data"
"8386","286.537396","20.96.88.162","192.168.75.216","TLSv1.2","100","Application Data"
"8387","286.537490","20.96.88.162","192.168.75.216","TLSv1.2","96","Application Data"
"8388","286.537490","20.96.88.162","192.168.75.216","TLSv1.2","131","Application Data"
"8389","286.537490","13.236.8.150","192.168.75.216","TLSv1.2","175","Application Data"
"8390","286.537563","192.168.75.216","20.96.88.162","TCP","54","58300  >  443 [ACK] Seq=1557 Ack=826 Win=254 Len=0"
"8391","286.537650","192.168.75.216","13.236.8.150","TCP","54","58221  >  443 [ACK] Seq=542 Ack=694 Win=254 Len=0"
"8392","287.146122","192.168.75.216","157.240.208.60","TLSv1.2","85","Application Data"
"8393","287.150377","20.96.88.162","192.168.75.216","TCP","54","[TCP Dup ACK 8383#1] 443  >  58300 [ACK] Seq=826 Ack=1557 Win=997 Len=0"
"8394","287.573957","192.168.75.216","157.240.208.60","TCP","85","[TCP Retransmission] 58281  >  443 [PSH, ACK] Seq=437 Ack=642 Win=251 Len=31"
"8395","287.575107","157.240.208.60","192.168.75.216","TCP","54","443  >  58281 [ACK] Seq=642 Ack=468 Win=991 Len=0"
"8396","287.575107","157.240.208.60","192.168.75.216","TLSv1.2","92","Application Data"
"8397","287.616010","192.168.75.216","157.240.208.60","TCP","54","58281  >  443 [ACK] Seq=468 Ack=680 Win=251 Len=0"
"8432","294.201535","3.233.149.199","192.168.75.216","TLSv1.2","100","Application Data"
"8433","294.201535","3.233.149.199","192.168.75.216","TLSv1.2","85","Encrypted Alert"
"8434","294.201675","192.168.75.216","3.233.149.199","TCP","54","58279  >  443 [ACK] Seq=13458 Ack=1910 Win=254 Len=0"
"8435","294.201888","192.168.75.216","3.233.149.199","TCP","54","58279  >  443 [FIN, ACK] Seq=13458 Ack=1910 Win=254 Len=0"
"8436","294.202220","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [FIN, ACK] Seq=1910 Ack=13458 Win=1023 Len=0"
"8437","294.202500","192.168.75.216","3.233.149.199","TCP","54","58279  >  443 [ACK] Seq=13459 Ack=1911 Win=254 Len=0"
"8438","294.611385","3.233.149.199","192.168.75.216","TCP","54","443  >  58279 [ACK] Seq=1911 Ack=13459 Win=1023 Len=0"
"8474","296.297955","192.168.75.216","185.199.108.133","TCP","55","[TCP Keep-Alive] 57953  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"8476","297.431020","192.168.75.216","142.251.10.95","TCP","55","[TCP Keep-Alive] 58149  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"8477","297.435522","185.199.108.133","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  57953 [ACK] Seq=1 Ack=2 Win=206 Len=0"
"8478","297.607829","192.168.75.216","74.125.200.188","TCP","55","[TCP Keep-Alive] 57907  >  5228 [ACK] Seq=37 Ack=1821 Win=253 Len=1"
"8479","297.607829","192.168.75.216","140.82.113.26","TCP","55","[TCP Keep-Alive] 58291  >  443 [ACK] Seq=145 Ack=126 Win=253 Len=1"
"8480","297.608851","142.251.10.95","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58149 [ACK] Seq=1 Ack=2 Win=149 Len=0"
"8481","297.821851","74.125.200.188","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 5228  >  57907 [ACK] Seq=1821 Ack=38 Win=157 Len=0"
"8482","297.821851","140.82.113.26","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58291 [ACK] Seq=126 Ack=146 Win=214 Len=0"
"8962","301.521778","192.168.75.216","13.35.13.48","TCP","55","[TCP Keep-Alive] 58307  >  443 [ACK] Seq=1354 Ack=7007 Win=65792 Len=1"
"8963","301.521777","192.168.75.216","13.35.13.48","TCP","55","[TCP Keep-Alive] 58308  >  443 [ACK] Seq=581 Ack=6061 Win=65280 Len=1"
"8965","301.835254","13.35.13.48","192.168.75.216","TCP","54","[TCP Keep-Alive ACK] 443  >  58307 [ACK] Seq=7007 Ack=1355 Win=5536 Len=0"
